Año,Índice dedependencia,Índice deenvejecimiento,Índice deinfancia,Índice dejuventud,Índice de vejez,Población por área Urbana,Población Centros Poblados y Rural Disperso,Relación hombre-mujer,Población total-Hombres,Población total-Mujeres,Población Total
1985,73.56955719,9.687814713,36.22274017,32.24386597,4.16307354,283479,28478,90.65596008,148334,163623,311957
1987,71.31749725,10.05459213,34.53515244,31.86361885,4.255427837,285550,27368,89.31453705,147628,165290,312918
1989,69.02681732,11.05925465,33.04456329,30.91192436,4.540338039,289587,26689,88.49963379,148490,167786,316276
1991,66.52702332,12.2361536,31.55164337,29.6970787,4.826648712,294487,26191,88.03682709,150138,170540,320678
1993,64.16657257,13.63717651,30.08891678,28.4860363,5.153337479,299808,25748,87.70850372,152119,173437,325556
1995,62.31805801,15.43623066,29.02917862,27.32265282,5.587866783,311874,27361,88.63260651,159396,179839,339235
1997,60.73818588,17.33808327,27.7685318,26.43300819,6.040642738,323036,28218,89.30014801,165700,185554,351254
1999,59.36257935,19.18922997,25.76982307,26.11790657,6.50143528,331600,28582,89.31738281,169929,190253,360182
2001,58.51685715,20.79206276,24.10151291,26.09486961,6.923732281,340678,27996,89.53305054,174157,194517,368674
2003,58.57679749,22.42646217,23.36435127,26.13965034,7.407822609,347388,27135,89.89438629,177296,197227,374523
2005,59.66654205,24.17482567,23.24408531,26.41932297,8.016102791,358280,26745,90.09262085,182479,202546,385025
2007,58.85134125,25.71982384,21.98856735,26.29598045,8.385871887,361563,29261,90.22180176,185367,205457,390824
2009,58.22710419,27.39505768,21.03050232,26.15360069,8.798888206,365270,29689,90.17304993,187275,207684,394959
2011,58.11685181,29.86463356,20.67677879,25.81990814,9.433634758,373458,29727,90.07849884,191070,212115,403185
2013,58.40835571,33.20287704,20.72453117,25.28909111,10.2772541,386319,29726,89.84312439,196893,219152,416045
2015,58.64850998,36.34885025,20.6092701,24.85433388,11.04881573,392799,29916,89.70546722,199888,222827,422715
2017,59.07412338,39.810009,20.61593246,24.34467125,11.86652756,398993,29380,89.51957703,202342,226031,428373
2019,59.62917709,44.14676285,20.03333664,23.87677956,12.86495018,413273,27335,89.29387665,207844,232764,440608
2021,60.58885956,49.00056458,20.30524635,23.07709312,13.88904953,425181,24893,89.02174377,211967,238107,450074
2023,61.33256912,54.65534973,20.19127655,22.14304161,14.93144131,434006,24436,88.8239975,215654,242788,458442
2025,61.52372742,60.97600937,19.36907768,21.17099571,15.90609074,445389,24211,88.74977112,220805,248795,469600
2027,62.3485527,67.79401398,18.98823547,20.30244637,16.9900322,455773,24179,88.69152832,225594,254358,479952
2029,63.29626465,74.71322632,18.64900589,19.55748749,18.05544281,464462,24338,88.6399231,229682,259118,488800
2031,64.31237793,81.32814789,18.36947632,18.96816444,19.06168938,471441,24685,88.58513641,233048,263078,496126
2033,65.34310913,87.10310364,18.13245201,18.56817818,19.96209526,477756,25072,88.53764343,236129,266699,502828
2035,66.26247406,92.07086945,17.95982742,18.26815033,20.73343658,483584,25444,88.51422882,239007,270021,509028
